Vorname,Nachnamekuerzel,Geburtsdatum,Geschlecht(m w d),PunkteSportFittnestest,PunktePraxistest,PunkteTheorietest,AuszeichnungBesondereLeistung(j n),Status(a g p)
Aaron,A.,19.9.1961,m,70,25,85,n,a
Abdul,Q.,24.3.1955,m,82,96,72,j,a
Abel,U.,7.7.1942,m,43,69,60,n,g
Abraham,R.,4.12.1948,m,61,50,38,n,a
Achim,T.,11.1.1928,m,50,65,77,n,p
Adam,V.,14.2.1962,m,64,79,85,n,a
Adolf,V.,6.7.1937,m,27,75,97,n,g
Adreon,X.,21.3.1931,m,56,60,30,n,p
Adrian,Z.,22.4.1965,m,77,39,52,n,a
Adriano,J.,15.3.1930,m,59,35,79,n,p
Adrien,G.,14.2.1973,m,73,73,46,n,a
Aeneas,U.,4.1.1949,m,54,63,42,n,g
Ahe,B.,10.1.1931,m,98,99,87,j,p
Aheahe,E.,16.12.1951,m,43,89,76,n,g
Aidan,Q.,1.5.1946,m,32,49,43,n,g
Aiden,T.,27.8.1965,m,62,66,44,n,a
Aika,N.,22.7.1973,m,26,55,66,n,g
Aimo,B.,19.3.1928,m,63,32,32,n,p
Akamai,I.,14.11.1951,m,52,32,98,n,g
Akamu,Y.,9.10.1952,m,22,87,53,n,g
Akela,X.,2.12.1947,m,84,23,78,n,a
Aki,R.,12.11.1927,m,55,81,55,n,p
Akoni,X.,21.12.1925,m,42,21,64,n,p
Alain,E.,21.2.1934,m,90,90,29,j,p
Alan,D.,15.3.1933,m,41,48,66,n,p
Alarich,Z.,7.2.1962,m,82,66,89,n,a
Albert,C.,25.6.1925,m,76,85,32,n,p
Albrecht,F.,4.3.1926,m,78,26,39,n,p
Alec,T.,14.7.1931,m,69,48,78,n,p
Alessandro,Y.,8.7.1955,m,91,34,80,j,a
Alessio,Y.,9.5.1931,m,34,85,59,n,p
Alex,L.,14.12.1941,m,41,91,23,j,a
Alexander,T.,17.2.1971,m,74,87,25,n,a
Alexej,J.,28.7.1956,m,79,87,50,n,a
Alexis,X.,7.7.1934,m,51,90,68,n,p
Alfons,T.,12.7.1933,m,55,53,25,n,p
Alfred,N.,4.4.1949,m,39,79,35,n,g
Ali,H.,10.1.1966,m,76,44,47,n,a
Alika,B.,10.7.1967,m,34,40,88,n,g
Aljoscha,J.,10.7.1964,m,66,63,22,n,a
Allard,F.,13.10.1925,m,30,86,79,n,p
Aloha,K.,21.1.1949,m,78,79,62,n,a
Alois,N.,4.8.1937,m,61,93,27,j,a
Alrik,B.,7.1.1940,m,69,93,93,j,a
Alvaro,O.,6.3.1972,m,44,94,63,j,a
Alwin,W.,14.10.1969,m,20,47,65,n,g
Amadeus,U.,9.7.1965,m,89,81,86,j,a
Amandus,K.,24.6.1926,m,37,96,36,j,p
Amaranth,V.,2.3.1971,m,89,54,27,n,a
Amel,E.,9.11.1963,m,33,59,58,n,g
Amelio,M.,22.1.1967,m,80,69,86,n,a
Amir,E.,23.12.1967,m,37,20,82,n,g
Amiran,S.,6.7.1960,m,56,80,35,n,g
Amon,Z.,22.9.1956,m,26,29,34,n,g
Anais,P.,13.9.1936,m,52,45,22,n,p
Anakin,L.,26.12.1932,m,61,92,50,j,p
Anders,S.,26.9.1945,m,97,86,72,j,a
Andre,Y.,8.8.1931,m,83,78,93,n,p
Andrè,K.,1.11.1933,m,20,51,37,n,p
Andrea,C.,25.1.1966,m,47,33,30,n,g
Andreas,L.,24.4.1926,m,34,35,67,n,p
Andrej,W.,4.3.1940,m,29,91,68,j,a
Andres,C.,30.6.1965,m,84,80,74,n,a
Andrew,C.,6.7.1933,m,78,32,61,n,p
Andrico,X.,1.7.1972,m,60,98,37,j,a
Andrik,V.,2.11.1960,m,25,61,87,n,g
Andy,F.,19.10.1965,m,83,34,59,n,a
Angus,I.,8.2.1930,m,36,26,34,n,p
Anian,Y.,16.11.1959,m,97,78,85,j,a
Aniani,M.,28.3.1944,m,74,96,21,j,a
Anil,A.,5.5.1927,m,93,61,54,j,p
Annick,Y.,4.6.1958,m,56,31,43,n,g
Anno,U.,19.4.1954,m,84,94,79,j,a
Ano,B.,5.2.1950,m,97,65,51,j,a
Anouck,G.,19.11.1949,m,25,71,31,n,g
Anouk,Q.,19.7.1957,m,82,44,74,n,a
Anselm,A.,17.6.1944,m,50,35,33,n,g
Ansgar,F.,2.2.1974,m,34,50,46,n,g
Anthony,M.,9.10.1947,m,68,60,33,n,a
Antoine,Y.,3.3.1956,m,67,91,27,j,a
Anton,S.,2.5.1955,m,37,73,88,n,g
Antonie,P.,3.1.1967,m,22,35,69,n,g
Antonio,I.,15.7.1925,m,83,34,56,n,p
Antonios,E.,12.3.1974,m,44,96,43,j,a
Antonius,S.,8.2.1941,m,95,63,32,j,a
Aolani,G.,4.3.1962,m,69,46,79,n,a
Aoloa,J.,26.12.1941,m,95,98,98,j,a
Aouli,M.,30.12.1968,m,49,73,41,n,g
Aragorn,Z.,14.12.1956,m,59,28,82,n,g
Aramis,M.,18.6.1957,m,90,61,77,n,a
Arendt,H.,10.11.1936,m,98,43,94,j,p
Ares,R.,19.3.1965,m,99,70,68,j,a
Ari,R.,24.4.1947,m,88,38,32,n,a
Arian,M.,27.3.1964,m,27,64,69,n,g
Ariel,D.,20.11.1939,m,40,29,38,n,g
Arik,H.,20.8.1954,m,80,95,41,j,a
Aris,U.,2.5.1941,m,88,88,83,j,a
Arlan,P.,2.10.1956,m,59,46,51,n,g
Arman,U.,2.2.1934,m,88,71,47,n,p
Armand,Y.,5.1.1950,m,48,93,78,j,a
Armin,B.,23.4.1937,m,29,88,61,n,g
Arndt,C.,17.4.1968,m,38,69,85,n,g
Arne,J.,22.11.1970,m,41,21,55,n,g
Arnit,T.,20.2.1932,m,38,88,56,n,p
Arno,Q.,5.12.1930,m,91,28,50,j,p
Arnold,K.,14.9.1942,m,48,37,74,n,g
Aron,A.,20.3.1944,m,88,49,38,n,a
Arthur,J.,15.5.1928,m,56,23,61,n,p
Artur,J.,20.10.1947,m,64,79,72,n,a
Arved,Z.,11.9.1971,m,66,79,30,n,a
Arvid,W.,11.8.1973,m,47,77,69,n,g
Arwed,K.,10.10.1957,m,36,29,46,n,g
Asger,S.,30.4.1973,m,40,29,38,n,g
Asmus,I.,23.8.1962,m,74,67,62,n,a
Athan,A.,16.8.1928,m,89,66,51,n,p
Attila,C.,3.1.1933,m,23,40,61,n,p
August,B.,7.4.1960,m,22,95,66,j,a
Augustin,Y.,24.6.1927,m,53,95,91,j,p
Aurel,J.,29.8.1953,m,57,48,80,n,g
Aurelian,V.,29.2.1965,m,20,61,31,n,g
Aurelius,C.,12.12.1952,m,85,28,60,n,a
Avino,V.,3.9.1970,m,20,92,38,j,a
Axel,F.,22.1.1939,m,34,43,73,n,g
