Vorname,Nachnamekuerzel,Geburtsdatum,Geschlecht(m w d),PunkteSportFittnestest,PunktePraxistest,PunkteTheorietest,AuszeichnungBesondereLeistung(j n),Status(a g p)
Aaron,A.,19.9.1961,m,70,25,85,_,_
Abdul,Q.,24.3.1955,m,82,96,72,_,_
Abel,U.,7.7.1942,m,43,69,60,_,_
Abraham,R.,4.12.1948,m,61,50,38,_,_
Achim,T.,11.1.1928,m,50,65,77,_,_
Adam,V.,14.2.1962,m,64,79,85,_,_
Adolf,V.,6.7.1937,m,27,75,97,_,_
Adreon,X.,21.3.1931,m,56,60,30,_,_
Adrian,Z.,22.4.1965,m,77,39,52,_,_
Adriano,J.,15.3.1930,m,59,35,79,_,_
Adrien,G.,14.2.1973,m,73,73,46,_,_
Aeneas,U.,4.1.1949,m,54,63,42,_,_
Ahe,B.,10.1.1931,m,98,99,87,_,_
Aheahe,E.,16.12.1951,m,43,89,76,_,_
Aidan,Q.,1.5.1946,m,32,49,43,_,_
Aiden,T.,27.8.1965,m,62,66,44,_,_
Aika,N.,22.7.1973,m,26,55,66,_,_
Aimo,B.,19.3.1928,m,63,32,32,_,_
Akamai,I.,14.11.1951,m,52,32,98,_,_
Akamu,Y.,9.10.1952,m,22,87,53,_,_
Akela,X.,2.12.1947,m,84,23,78,_,_
Aki,R.,12.11.1927,m,55,81,55,_,_
Akoni,X.,21.12.1925,m,42,21,64,_,_
Alain,E.,21.2.1934,m,90,90,29,_,_
Alan,D.,15.3.1933,m,41,48,66,_,_
Alarich,Z.,7.2.1962,m,82,66,89,_,_
Albert,C.,25.6.1925,m,76,85,32,_,_
Albrecht,F.,4.3.1926,m,78,26,39,_,_
Alec,T.,14.7.1931,m,69,48,78,_,_
Alessandro,Y.,8.7.1955,m,91,34,80,_,_
Alessio,Y.,9.5.1931,m,34,85,59,_,_
Alex,L.,14.12.1941,m,41,91,23,_,_
Alexander,T.,17.2.1971,m,74,87,25,_,_
Alexej,J.,28.7.1956,m,79,87,50,_,_
Alexis,X.,7.7.1934,m,51,90,68,_,_
Alfons,T.,12.7.1933,m,55,53,25,_,_
Alfred,N.,4.4.1949,m,39,79,35,_,_
Ali,H.,10.1.1966,m,76,44,47,_,_
Alika,B.,10.7.1967,m,34,40,88,_,_
Aljoscha,J.,10.7.1964,m,66,63,22,_,_
Allard,F.,13.10.1925,m,30,86,79,_,_
Aloha,K.,21.1.1949,m,78,79,62,_,_
Alois,N.,4.8.1937,m,61,93,27,_,_
Alrik,B.,7.1.1940,m,69,93,93,_,_
Alvaro,O.,6.3.1972,m,44,94,63,_,_
Alwin,W.,14.10.1969,m,20,47,65,_,_
Amadeus,U.,9.7.1965,m,89,81,86,_,_
Amandus,K.,24.6.1926,m,37,96,36,_,_
Amaranth,V.,2.3.1971,m,89,54,27,_,_
Amel,E.,9.11.1963,m,33,59,58,_,_
Amelio,M.,22.1.1967,m,80,69,86,_,_
Amir,E.,23.12.1967,m,37,20,82,_,_
Amiran,S.,6.7.1960,m,56,80,35,_,_
Amon,Z.,22.9.1956,m,26,29,34,_,_
Anais,P.,13.9.1936,m,52,45,22,_,_
Anakin,L.,26.12.1932,m,61,92,50,_,_
Anders,S.,26.9.1945,m,97,86,72,_,_
Andre,Y.,8.8.1931,m,83,78,93,_,_
Andr�,K.,1.11.1933,m,20,51,37,_,_
Andrea,C.,25.1.1966,m,47,33,30,_,_
Andreas,L.,24.4.1926,m,34,35,67,_,_
Andrej,W.,4.3.1940,m,29,91,68,_,_
Andres,C.,30.6.1965,m,84,80,74,_,_
Andrew,C.,6.7.1933,m,78,32,61,_,_
Andrico,X.,1.7.1972,m,60,98,37,_,_
Andrik,V.,2.11.1960,m,25,61,87,_,_
Andy,F.,19.10.1965,m,83,34,59,_,_
Angus,I.,8.2.1930,m,36,26,34,_,_
Anian,Y.,16.11.1959,m,97,78,85,_,_
Aniani,M.,28.3.1944,m,74,96,21,_,_
Anil,A.,5.5.1927,m,93,61,54,_,_
Annick,Y.,4.6.1958,m,56,31,43,_,_
Anno,U.,19.4.1954,m,84,94,79,_,_
Ano,B.,5.2.1950,m,97,65,51,_,_
Anouck,G.,19.11.1949,m,25,71,31,_,_
Anouk,Q.,19.7.1957,m,82,44,74,_,_
Anselm,A.,17.6.1944,m,50,35,33,_,_
Ansgar,F.,2.2.1974,m,34,50,46,_,_
Anthony,M.,9.10.1947,m,68,60,33,_,_
Antoine,Y.,3.3.1956,m,67,91,27,_,_
Anton,S.,2.5.1955,m,37,73,88,_,_
Antonie,P.,3.1.1967,m,22,35,69,_,_
Antonio,I.,15.7.1925,m,83,34,56,_,_
Antonios,E.,12.3.1974,m,44,96,43,_,_
Antonius,S.,8.2.1941,m,95,63,32,_,_
Aolani,G.,4.3.1962,m,69,46,79,_,_
Aoloa,J.,26.12.1941,m,95,98,98,_,_
Aouli,M.,30.12.1968,m,49,73,41,_,_
Aragorn,Z.,14.12.1956,m,59,28,82,_,_
Aramis,M.,18.6.1957,m,90,61,77,_,_
Arendt,H.,10.11.1936,m,98,43,94,_,_
Ares,R.,19.3.1965,m,99,70,68,_,_
Ari,R.,24.4.1947,m,88,38,32,_,_
Arian,M.,27.3.1964,m,27,64,69,_,_
Ariel,D.,20.11.1939,m,40,29,38,_,_
Arik,H.,20.8.1954,m,80,95,41,_,_
Aris,U.,2.5.1941,m,88,88,83,_,_
Arlan,P.,2.10.1956,m,59,46,51,_,_
Arman,U.,2.2.1934,m,88,71,47,_,_
Armand,Y.,5.1.1950,m,48,93,78,_,_
Armin,B.,23.4.1937,m,29,88,61,_,_
Arndt,C.,17.4.1968,m,38,69,85,_,_
Arne,J.,22.11.1970,m,41,21,55,_,_
Arnit,T.,20.2.1932,m,38,88,56,_,_
Arno,Q.,5.12.1930,m,91,28,50,_,_
Arnold,K.,14.9.1942,m,48,37,74,_,_
Aron,A.,20.3.1944,m,88,49,38,_,_
Arthur,J.,15.5.1928,m,56,23,61,_,_
